HORODATE;SOUS_PROFIL;CATEGORIE;COEFFICIENT_PREPARE;COEFFICIENT_AJUSTE;COEFFICIENT_DYNAMIQUE;INDIC_DISPERS_POIDS_DYN;INDIC_PRECISION_DYN
2024-07-13T12:30:00+02:00;RES1_BASE;Residentiel;1.1696;1.1696;1.042944782;100;100
2024-07-13T15:00:00+02:00;RES1_BASE;Residentiel;0.9683;0.9683;0.847725393;100;100
2024-07-14T00:30:00+02:00;RES1_BASE;Residentiel;0.6831;0.6831;0.604368589;100;100
2024-07-14T04:30:00+02:00;RES1_BASE;Residentiel;0.5132;0.5132;0.471416156;100;100
2024-07-14T09:30:00+02:00;RES1_BASE;Residentiel;1.0264;1.0264;0.863915602;100;100
2024-07-14T10:30:00+02:00;RES1_BASE;Residentiel;1.1367;1.1367;0.95295138;100;100
2024-07-14T12:00:00+02:00;RES1_BASE;Residentiel;1.2523;1.2523;1.135647516;100;100
2024-07-14T14:00:00+02:00;RES1_BASE;Residentiel;1.0442;1.0442;0.942330853;100;100
2024-07-14T18:30:00+02:00;RES1_BASE;Residentiel;1.062;1.062;0.962694753;100;100
2024-07-14T19:30:00+02:00;RES1_BASE;Residentiel;1.1589;1.1589;1.054153506;100;100
2024-07-15T01:00:00+02:00;RES1_BASE;Residentiel;0.5894;0.5894;0.565184234;100;100
2024-07-15T10:30:00+02:00;RES1_BASE;Residentiel;0.9774;0.9774;0.823311158;100;100
2024-07-15T12:30:00+02:00;RES1_BASE;Residentiel;1.1;1.1;0.95384453;100;100
2024-07-15T16:30:00+02:00;RES1_BASE;Residentiel;0.8793;0.8793;0.796954865;100;100
2024-07-15T19:30:00+02:00;RES1_BASE;Residentiel;1.2384;1.2384;1.133253118;100;100
2024-07-15T22:00:00+02:00;RES1_BASE;Residentiel;1.093;1.093;0.916210935;100;100
2024-07-16T04:00:00+02:00;RES1_BASE;Residentiel;0.5159;0.5159;0.479871878;100;100
2024-07-16T07:00:00+02:00;RES1_BASE;Residentiel;0.7665;0.7665;0.612665229;100;100
2024-07-16T09:30:00+02:00;RES1_BASE;Residentiel;0.9235;0.9235;0.754968786;100;100
2024-07-16T14:00:00+02:00;RES1_BASE;Residentiel;0.9643;0.9643;0.819929296;100;100
2024-07-16T15:00:00+02:00;RES1_BASE;Residentiel;0.9036;0.9036;0.784793056;100;100
2024-07-17T04:00:00+02:00;RES1_BASE;Residentiel;0.5109;0.5109;0.47789639;100;100
2024-07-17T05:30:00+02:00;RES1_BASE;Residentiel;0.5396;0.5396;0.495433578;100;100
2024-07-17T06:00:00+02:00;RES1_BASE;Residentiel;0.5874;0.5874;0.530316014;100;100
2024-07-17T08:00:00+02:00;RES1_BASE;Residentiel;0.8871;0.8871;0.723175472;100;100
2024-07-17T20:30:00+02:00;RES1_BASE;Residentiel;1.1912;1.1912;1.021591048;100;100
2024-07-18T03:00:00+02:00;RES1_BASE;Residentiel;0.5433;0.5433;0.492659653;100;100
2024-07-18T12:30:00+02:00;RES1_BASE;Residentiel;1.0686;1.0686;0.919565744;100;100
